accountIdentifier,principal,numberOfOwnedNFTs,ownedNFTs,ownedNFTsVisible,minted,numberOfMintedNFTs,mintedNFTs,mintedNFTsVisible,mintValueICP,sold,numberOfSoldNFTs,soldNFTs,soldNFTsVisible,sellValueICP,bought,numberOfBoughtNFTs,boughtNFTs,boughtNFTsVisible,buyValueICP,listings,numberOfListedNFTs,listedNFTs,listedNFTsVisible,minListingPriceICP,collectionName,collectionCanisterId
f7a07a08980978dc2170ca5c73bb275169af64249250b3d19554f55b2c71c493,q2s6w-descs-6cur2-ryoxs-5kjfy-73m7v-jy3mg-p25gu-lejci-ndz2a-qae,1,419,420,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
7ab39140aa67d33a10fdb15e03a9c4e388a65842f7d34873345e03283f918005,vzxbf-njzzg-sdjdp-tmgkr-3ckvc-fiwvs-j7bjm-oc6fi-efjze-4z4kg-tqe,1,99,100,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
2e6bc5ebd7769f325ad06c4aa377607017918ace03c36e28b4bf40472949f9d5,bykmj-b4z7v-327oc-mnyvf-hh3yl-3x2kf-kghp6-klwxu-ge6bx-rcbof-dae,1,27,28,false,0,,,0,false,0,,,0,false,0,,,0,true,1,27,28,50,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
f771bff3e411c13f5fad663330f0f6ca63e72f945fd879d74fb860c84835a00c,2qib4-aumes-zm7b5-zyrsf-2cvk3-blrww-lpfzc-s7alt-4ukkf-ofmuq-tqe,1,49,50,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
9257ee2734c26436bdddd7d082d67d524987acf891d0ed3e222e561c91aaa7c2,jp2of-ca325-isrtl-nzde2-e62uf-dv5fj-5e4p5-hdaug-56l6i-tyis4-bqe,1,56,57,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
beb23b0a9151a401b45bbaff31d354cc21a71f0ab297eefa230f718d4173f67f,ukxqb-3vp2h-v4ili-ly7yx-hpf6z-fy4no-fmb4g-34bub-exhc5-mhy5u-uqe,1,417,418,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
b310a8865af2d2953ad35b7aa96355f4516a25e9da7911c0c60ff4ce72a41e4a,rs2j3-p6zkk-hajim-ugvqg-o46i7-3w3up-apojd-h3jz2-yd4kq-cea7m-pae,1,296,297,false,0,,,0,true,1,282,283,70,false,0,,,0,true,1,296,297,70,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
e4f724cf18283c165c3f474e56dc066c7c453902812c0436c66e08e4966217e0,2xx3k-n6ws4-ahguk-ryyes-6bjp3-e4tio-o44ar-2vkgm-flhnp-gxohl-5ae,1,203,204,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
f3cef87348635d8fc838d51508452656e692d33589bed19e87464adf55a1e8ae,j3ewb-7lkdb-5rq62-pyaq3-kuai5-4ivwd-elwu6-oumor-ujrc7-6imyl-3qe,1,197,198,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
5102ea0eb3c6896cae76823d55d54a15f807a56476876090590b6a2a7e2676f0,qict6-6tegy-urrmj-g2qym-xwg3x-7qqpv-tiuda-dso6e-4ogv2-azsif-6qe,1,196,197,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
76f93e57c92463b1267a4c5ba6c0b51c257d11dab74edaf4d7a2b66218be2f48,liykr-e3k6p-5f44j-w7fw3-oyj6z-55p4u-s5in7-aa637-zf5d6-zkpms-pae,1,281,282,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
8118161c2d27d73254a0af516e5628a3ad88e1005947e5ecebab602c04392cf0,trirw-cno6d-plbmc-pf72x-v3xmr-h3d4y-vp2mg-noaxq-3vqqg-a3emb-oae,1,183,184,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
0d99fc8adcd9c8db74ac7a90dd2e97e0c5c3020a019d050be52bc2a720453722,ekayc-tfkzf-a6del-i6rqj-6yjlf-uelxr-b2vfq-brott-a7ntw-otnff-fqe,1,294,295,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
8488106ba7d8a1c7a5594b69b43580a0c2afd9b158693e10da4cbf9147bc0440,gj3h2-k3kw2-ciszt-6zylp-azl7o-mvg5j-eudtf-fpejf-mx2rd-ifsul-dqe,1,41,42,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
ac2bb26e7cf89589ef83bee4aa567523bc0cfdeb0cb9e5221ff17602a120d7c2,magnq-2qe6l-hckz3-leltq-ygh3p-62fpn-qa3ad-nhuuu-vp2b5-qpabx-tqe,1,275,276,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
a2612d8ac23b8eb70c5a8f9bf11e41ad752b1a017d61ff8dc3b08a98434c2b08,srnqx-pa3k6-dxwym-3r5nj-se7a5-32s44-7s75q-ncxsj-vzxtq-7gc36-pqe,1,95,96,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
67f27d978026fc33d9eab0057f17026f5ef7cfb2e177acfc39fe5f8d03b6fb23,,1,53,54,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
b7be2e4ac90a4b3d1e22baf4e61c39e186c5c4a85cd66e8d9278e234a80ca137,4ngxr-uje5g-afzmw-oargn-jvzhd-i4xul-sdt2c-m7dbt-lqb2n-ebnvg-xae,1,38,39,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
fb80aed2d433a5708bf350d106764819a49fe66f0892fa1f3d33dcc8f86748b7,uxenk-al75z-dx2vw-crdv6-pol4u-hwnwn-bntye-odi25-uo2yb-36vs6-mae,1,28,29,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
1a1ec2c7fa352c4498abc335b8fd92fdccb1b5950cde740eacfc257fb07713f1,cv4s6-6zfm3-znli7-uijzc-jd2dk-b5p3d-nxy4x-2egvn-teecb-keobl-fae,1,377,378,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
d9344ec1f9e878ad98f9c99a42b79297e2d3f5f851a723f4337bed8eddf9f18a,t6joq-iehru-k65cb-reul4-ugh3f-rpwf7-rhkng-tvkvy-wkebs-2ygmi-aqe,1,211,212,false,0,,,0,false,0,,,0,true,1,211,212,20.8,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
1b07d6d3410a112aa78be3d2279255783e2018b7dd75cdf1c9d834067a9ee214,kbjpv-pefcs-rf652-g4uhq-mlm3b-bjct7-v5ffj-le4df-4476i-e5yei-nae,1,131,132,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
2d94cb2b4807abefafd18fff9734ba80c58a53de354a47ff5c952ff60f11ee21,,1,105,106,false,0,,,0,false,0,,,0,true,1,105,106,25,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
4f9a3acdcbd68adba85a0b299367c9d76029fff6ccd05cd9a74c7066b7ab601a,3prrs-invzp-tjsbz-wc74f-quwuu-sqwun-erref-yfwbe-yaohn-latxb-cqe,1,224,225,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
